Fornavn;Etternavn;Fødselsdato;Fag
Juan Oscár;Madrileño;1995-06-24;1P
Rasmus;Mundviken;1989-01-18;1P
Anne;Elise;1987-05-30;1P
Nora;To;2003-04-28;1P
Ess;Behn;1950-12-02;1P
Kristin;Pepperglad;1988-05-05;1P
Vanessa;Privatist;2005-03-18;1P
Nora;Ein;2008-08-31;2PY
Mester;Anders;1980-02-03;2PY
V;Boss;1980-02-03;2PY
Siri;Ringerhjem;1928-11-15;2PY
Ro! Ro!;Arr;1951-07-18;2PY
Utav;Det;1986-07-17;2PY
Stine;Madrileño;1986-07-17;2PY
Lise;London;1996-04-27;2PY
Bea;The;1975-09-09;2PY
Mikkel;Datamaskin;1984-05-07;2PY
Hanne;Hi-Yah;1989-09-11;2PY
Ge;The;1994-06-16;2PY
Stian;Lagleder;1994-11-15;2PY
Nils;Hønefar;1995-01-04;2PY
Sandra;Berlin;1990-12-13;2PY
Je;The;1993-10-14;2PY
J;Dawg;1960-01-23;2PY
Stine;Madrileño;1989-12-01;Spansk
Juan Oscár;Madrileño;1995-06-24;Spansk
Nora;Ein;2008-08-31;Spansk
V;Boss;1980-02-03;Spansk
Stian;Lagleder;1994-11-15;Spansk
Rasmus;Mundviken;1989-01-18;Spansk
Sandra;Berlin;1990-12-13;Spansk
